text,author,date,stars,trail,source
"
 It was my girlfriend and mine first-time experience the trail go on an easy trail.  Boy, it was fun. We are going back again for sure. ",Ron Atkinson,"March 6, 2020",5.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 Great trail, fun, ups & downs, roots, rocks, tight curves, good work out...I'd do it again... ",LowDawg,"March 8, 2019",5.0,Spider Berm,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 I've been riding Alafia and Santos once or twice a winter for about 5 years now, but never made it to Balm until last week.  These are now my favorite trails in Florida.  Not as many jumps and wooden features, but better flow with some nice technical features scattered around.  These trails have a much more back country feel than Alafia or Santos and are very scenic too.  Must ride if in the area! ",Superfly Lee,"February 26, 2019",5.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 Well designed technical trails ",kriscira,"January 26, 2019",5.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 Balm is a million times better than Alifia.  People just hae the long ride into it.  Never crowded go see for yourself ",Tim Russell,"May 18, 2018",5.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 First time here and spent about two hours.  Trail was dry after the rain yesterday.  Green is great for someone starting out.  Loved the blues.  Some great features and narrow ledges and some bridges.  Great place and have to come back and explore some more.  Something for everyone from beginner to seasoned rider.  I rode clipped pedals and was fine.  It is Florida and being from NY it was hot.  Bring plenty of water. ",bikeit420,"May 16, 2018",5.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 Might be the best trail in Florida! Black diamond but not real technical- just some short, steep, fast hills. ",dlaido,"April 22, 2018",5.0,Ridgeline,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 Thank you SWAMP crew for the excellent singletrack.  I noticed someone had raked clear and clean one of the blue trails, I think it was Gatorpit and Golf cart.  Thanks for all the effort. My first time here and the trails are phenomenal.  Due to the lack of adequate parking, facilities, running water, the place seems primitive.  More signage would have helped, the incredible blues are interrupted by service roads.  Although, that may be a good time to catch your breath before diving into the next blue trail. If you have conquered Spitfire at Alafia, then you must attempt Ridgeline at Balm. ***UPDATE***
A new designated parking lot opened up 4/21 to the south of the park off CR672 (Balm Picnic Rd).  Porta-Potties and it cuts out that 2 mile sandy access road trek to the singletrack ",CrowSlayer,"April 12, 2018",4.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 running fast at this time of year. ",harleyferg,"February 21, 2018",5.0,Ridgeline,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
"
 Fantastic ride.  Started at Alafia state park and talked to the local riders and directed to the Balm.
The 2 mile ride in is easy and beautiful.  Trails are well marked and maps are everywhere.
Do not miss this ride as it made the trip for us. ",jchild,"December 29, 2017",5.0,Unknown,https://www.singletracks.com/bike-trails/balm-boyette-scrub-preserve/
